walk_idx,ta_ns,tb_ns
0,9659,9659
1,9895,9895
2,10086,10086
3,9877,9877
4,9956,9956
5,10041,10041
6,10207,10207
7,9753,9753
8,10057,10057
9,10013,10013
10,10084,10084
11,10028,10028
12,10173,10173
13,10225,10225
14,10291,10291
15,9907,9907
16,9973,9973
17,10143,10143
18,9899,9899
19,9839,9839
20,10084,10084
21,10098,10098
22,9877,9877
23,9909,9909
24,9961,9961
25,10081,10081
26,10066,10066
27,9857,9857
28,9821,9821
29,9874,9874
30,9994,9994
31,9725,9725
32,9969,9969
33,9971,9971
34,10162,10162
35,9942,9942
36,10125,10125
37,10038,10038
38,9804,9804
39,10002,10002
40,9869,9869
41,9934,9934
42,10041,10041
43,9888,9888
44,9938,9938
45,9725,9725
46,10079,10079
47,9695,9695
48,9970,9970
49,9982,9982
50,9845,9845
51,9828,9828
52,10073,10073
53,10001,10001
54,10048,10048
55,10249,10249
56,10243,10243
57,9853,9853
58,9966,9966
59,9906,9906
60,10016,10016
61,10125,10125
62,9944,9944
63,10000,10000
64,9811,9811
65,9737,9737
66,10096,10096
67,10123,10123
68,10103,10103
69,9839,9839
70,9925,9925
71,9747,9747
72,9847,9847
73,10084,10084
74,10009,10009
75,9754,9754
76,9980,9980
77,10097,10097
78,9999,9999
79,10168,10168
80,9929,9929
81,10103,10103
82,9988,9988
83,9967,9967
84,10199,10199
85,10175,10175
86,10095,10095
87,9972,9972
88,9948,9948
89,10191,10191
90,10270,10270
91,10023,10023
92,9890,9890
93,10167,10167
94,9987,9987
95,10005,10005
96,9751,9751
97,10076,10076
98,10186,10186
99,10070,10070
