walk_idx,ta_ns,tb_ns
0,10092,10092
1,9893,9893
2,10021,10021
3,9887,9887
4,9921,9921
5,10222,10222
6,10538,10538
7,9957,9957
8,9989,9989
9,9931,9931
10,9828,9828
11,9734,9734
12,9971,9971
13,9972,9972
14,9949,9949
15,9922,9922
16,10104,10104
17,9922,9922
18,10119,10119
19,9938,9938
20,9868,9868
21,10088,10088
22,9924,9924
23,10193,10193
24,10443,10443
25,9972,9972
26,10040,10040
27,9838,9838
28,9728,9728
29,9937,9937
30,10115,10115
31,9969,9969
32,9832,9832
33,9854,9854
34,10006,10006
35,10065,10065
36,10098,10098
37,10004,10004
38,10114,10114
39,9819,9819
40,10108,10108
41,9925,9925
42,9855,9855
43,10100,10100
44,9856,9856
45,10112,10112
46,9994,9994
47,9760,9760
48,10163,10163
49,10118,10118
50,10055,10055
51,9929,9929
52,10116,10116
53,9923,9923
54,10134,10134
55,9811,9811
56,10157,10157
57,9842,9842
58,10334,10334
59,9868,9868
60,9844,9844
61,10043,10043
62,10106,10106
63,10138,10138
64,10053,10053
65,10132,10132
66,9731,9731
67,10150,10150
68,10036,10036
69,10220,10220
70,10268,10268
71,9880,9880
72,9970,9970
73,10028,10028
74,10196,10196
75,10058,10058
76,9974,9974
77,9931,9931
78,9874,9874
79,9769,9769
80,10209,10209
81,10148,10148
82,9897,9897
83,9915,9915
84,9968,9968
85,10045,10045
86,9988,9988
87,10064,10064
88,10046,10046
89,9827,9827
90,9694,9694
91,10089,10089
92,9917,9917
93,9775,9775
94,9833,9833
95,10053,10053
96,10061,10061
97,10195,10195
98,10004,10004
99,10150,10150
