walk_idx,ta_ns,tb_ns
0,1001945,1001945
1,967411,967411
2,1005609,1005609
3,984268,984268
4,1021449,1021449
5,1000346,1000346
6,1006377,1006377
7,993305,993305
8,1044924,1044924
9,1004863,1004863
10,1003311,1003311
11,992405,992405
12,1005500,1005500
13,1001426,1001426
14,1029268,1029268
15,985769,985769
16,981206,981206
17,993472,993472
18,1012824,1012824
19,1019967,1019967
20,1002845,1002845
21,1006199,1006199
22,976122,976122
23,999849,999849
24,997900,997900
25,989101,989101
26,1014545,1014545
27,990337,990337
28,990203,990203
29,1013283,1013283
30,1008159,1008159
31,979951,979951
32,983627,983627
33,989310,989310
34,1002392,1002392
35,1000189,1000189
36,1008048,1008048
37,1001797,1001797
38,1020746,1020746
39,994220,994220
40,994477,994477
41,984468,984468
42,989624,989624
43,1003545,1003545
44,1000177,1000177
45,972020,972020
46,1012479,1012479
47,1002504,1002504
48,1004371,1004371
49,996608,996608
50,999985,999985
51,1006736,1006736
52,982732,982732
53,1002449,1002449
54,996405,996405
55,991154,991154
56,1025036,1025036
57,994428,994428
58,983582,983582
59,1004490,1004490
60,1031400,1031400
61,988345,988345
62,997813,997813
63,974983,974983
64,993133,993133
65,1021646,1021646
66,978397,978397
67,983058,983058
68,998256,998256
69,999552,999552
70,981122,981122
71,1023683,1023683
72,993129,993129
73,982727,982727
74,982979,982979
75,1026436,1026436
76,1009635,1009635
77,985424,985424
78,1002992,1002992
79,992247,992247
80,983341,983341
81,1012455,1012455
82,1022715,1022715
83,979867,979867
84,1043265,1043265
85,1011255,1011255
86,987331,987331
87,1002804,1002804
88,1007312,1007312
89,1017622,1017622
90,994470,994470
91,1008011,1008011
92,994743,994743
93,963461,963461
94,979593,979593
95,1009169,1009169
96,1004666,1004666
97,1006953,1006953
98,992534,992534
99,992939,992939
