walk_idx,ta_ns,tb_ns
0,101102,101102
1,98691,98691
2,99216,99216
3,98796,98796
4,97065,97065
5,96845,96845
6,97722,97722
7,102526,102526
8,98678,98678
9,98470,98470
10,95537,95537
11,96012,96012
12,96614,96614
13,98805,98805
14,100102,100102
15,98446,98446
16,98989,98989
17,101736,101736
18,100721,100721
19,100066,100066
20,99012,99012
21,102972,102972
22,101160,101160
23,99003,99003
24,97738,97738
25,101564,101564
26,98679,98679
27,96899,96899
28,100258,100258
29,99125,99125
30,99182,99182
31,101435,101435
32,100978,100978
33,97388,97388
34,98838,98838
35,100815,100815
36,99208,99208
37,100091,100091
38,103630,103630
39,100355,100355
40,98028,98028
41,100812,100812
42,99719,99719
43,103229,103229
44,100112,100112
45,101322,101322
46,100435,100435
47,100057,100057
48,99838,99838
49,99359,99359
50,98550,98550
51,102019,102019
52,100205,100205
53,101104,101104
54,102876,102876
55,97591,97591
56,102251,102251
57,99948,99948
58,99414,99414
59,100472,100472
60,100923,100923
61,97795,97795
62,101482,101482
63,100294,100294
64,100489,100489
65,99332,99332
66,98097,98097
67,101997,101997
68,98779,98779
69,100126,100126
70,97177,97177
71,99805,99805
72,105333,105333
73,100940,100940
74,101685,101685
75,100788,100788
76,102405,102405
77,99863,99863
78,100647,100647
79,98556,98556
80,99494,99494
81,96241,96241
82,98684,98684
83,100420,100420
84,103864,103864
85,101862,101862
86,99422,99422
87,98403,98403
88,103653,103653
89,98496,98496
90,101031,101031
91,99067,99067
92,98434,98434
93,100457,100457
94,102304,102304
95,102165,102165
96,101563,101563
97,99918,99918
98,98985,98985
99,100021,100021
