walk_idx,ta_ns,tb_ns
0,9875402,9875402
1,10125463,10125463
2,10041372,10041372
3,10191127,10191127
4,10139853,10139853
5,10185412,10185412
6,9858522,9858522
7,10105987,10105987
8,9777337,9777337
9,9923012,9923012
10,10156389,10156389
11,9801002,9801002
12,10302218,10302218
13,9784883,9784883
14,10147065,10147065
15,9880783,9880783
16,10262539,10262539
17,10115475,10115475
18,9503402,9503402
19,10175348,10175348
20,10050199,10050199
21,9904181,9904181
22,9981261,9981261
23,10162322,10162322
24,9893419,9893419
25,9796063,9796063
26,10051723,10051723
27,9846934,9846934
28,9775849,9775849
29,10083405,10083405
30,10027687,10027687
31,10202199,10202199
32,9951773,9951773
33,9842078,9842078
34,9982857,9982857
35,10172875,10172875
36,9861910,9861910
37,10271040,10271040
38,10034223,10034223
39,10071009,10071009
40,9911474,9911474
41,9813824,9813824
42,10167130,10167130
43,10020699,10020699
44,9812596,9812596
45,10239777,10239777
46,9772730,9772730
47,9725240,9725240
48,9558902,9558902
49,10122685,10122685
50,9892605,9892605
51,9864126,9864126
52,10265586,10265586
53,10246891,10246891
54,9970731,9970731
55,9671301,9671301
56,10127433,10127433
57,10009518,10009518
58,9983329,9983329
59,10016024,10016024
60,10073417,10073417
61,10129635,10129635
62,10400088,10400088
63,9894992,9894992
64,9830270,9830270
65,9952515,9952515
66,9872406,9872406
67,9995988,9995988
68,9896529,9896529
69,10329193,10329193
70,10239549,10239549
71,9872516,9872516
72,10122828,10122828
73,9721254,9721254
74,9972289,9972289
75,10035639,10035639
76,10012442,10012442
77,9915814,9915814
78,10078931,10078931
79,9924498,9924498
80,10010527,10010527
81,10161186,10161186
82,10221212,10221212
83,9982074,9982074
84,10113526,10113526
85,9891346,9891346
86,9846112,9846112
87,9999308,9999308
88,9941883,9941883
89,10293894,10293894
90,9902690,9902690
91,9982830,9982830
92,9929707,9929707
93,10025313,10025313
94,9874980,9874980
95,10166335,10166335
96,9873158,9873158
97,9809567,9809567
98,9457663,9457663
99,9753114,9753114
