walk_idx,ta_ns,tb_ns
0,99654,99654
1,98805,98805
2,97188,97188
3,99068,99068
4,97505,97505
5,99185,99185
6,98921,98921
7,98631,98631
8,97878,97878
9,100916,100916
10,101655,101655
11,101970,101970
12,101731,101731
13,99885,99885
14,100268,100268
15,99643,99643
16,101775,101775
17,99953,99953
18,99511,99511
19,100621,100621
20,96706,96706
21,96273,96273
22,98373,98373
23,99692,99692
24,98624,98624
25,101285,101285
26,96890,96890
27,99869,99869
28,103115,103115
29,99480,99480
30,100314,100314
31,99426,99426
32,97893,97893
33,100531,100531
34,100220,100220
35,99968,99968
36,101250,101250
37,100704,100704
38,100557,100557
39,101517,101517
40,99379,99379
41,101937,101937
42,98052,98052
43,101232,101232
44,99751,99751
45,101276,101276
46,101322,101322
47,99069,99069
48,100195,100195
49,98668,98668
50,99414,99414
51,98887,98887
52,100860,100860
53,99471,99471
54,98936,98936
55,100789,100789
56,98801,98801
57,101521,101521
58,98910,98910
59,100335,100335
60,100054,100054
61,98182,98182
62,97158,97158
63,100998,100998
64,99044,99044
65,99677,99677
66,99365,99365
67,99551,99551
68,96943,96943
69,100847,100847
70,99604,99604
71,104022,104022
72,99000,99000
73,101491,101491
74,102785,102785
75,99937,99937
76,100835,100835
77,100690,100690
78,98544,98544
79,101349,101349
80,100150,100150
81,100500,100500
82,101019,101019
83,100113,100113
84,97476,97476
85,100977,100977
86,103754,103754
87,98743,98743
88,100207,100207
89,101617,101617
90,98365,98365
91,101442,101442
92,99624,99624
93,99138,99138
94,103095,103095
95,96866,96866
96,101060,101060
97,97934,97934
98,99107,99107
99,100975,100975
