walk_idx,ta_ns,tb_ns
0,100924,100924
1,98716,98716
2,98948,98948
3,98934,98934
4,96129,96129
5,98949,98949
6,100849,100849
7,101790,101790
8,97804,97804
9,100440,100440
10,99626,99626
11,102175,102175
12,99764,99764
13,100714,100714
14,100494,100494
15,100651,100651
16,98169,98169
17,98128,98128
18,98308,98308
19,98927,98927
20,99875,99875
21,98790,98790
22,100982,100982
23,101677,101677
24,103071,103071
25,100821,100821
26,101114,101114
27,97864,97864
28,98891,98891
29,97632,97632
30,99724,99724
31,101606,101606
32,96546,96546
33,102626,102626
34,99187,99187
35,98255,98255
36,99623,99623
37,99426,99426
38,104008,104008
39,102200,102200
40,100939,100939
41,99881,99881
42,100456,100456
43,99421,99421
44,101185,101185
45,96782,96782
46,100291,100291
47,99014,99014
48,101246,101246
49,100068,100068
50,98004,98004
51,101065,101065
52,101771,101771
53,103347,103347
54,101339,101339
55,99141,99141
56,99081,99081
57,97527,97527
58,98586,98586
59,101278,101278
60,100681,100681
61,98197,98197
62,101615,101615
63,100705,100705
64,100313,100313
65,103504,103504
66,98438,98438
67,98406,98406
68,99496,99496
69,99401,99401
70,99784,99784
71,101814,101814
72,98214,98214
73,99808,99808
74,98399,98399
75,100930,100930
76,99530,99530
77,99460,99460
78,99268,99268
79,100806,100806
80,99667,99667
81,100746,100746
82,100008,100008
83,100808,100808
84,99259,99259
85,100643,100643
86,99843,99843
87,99021,99021
88,99336,99336
89,97154,97154
90,100809,100809
91,98712,98712
92,101066,101066
93,101284,101284
94,101689,101689
95,100984,100984
96,100447,100447
97,101735,101735
98,99448,99448
99,97585,97585
