walk_idx,ta_ns,tb_ns
0,9944,9944
1,9783,9783
2,9779,9779
3,9854,9854
4,9936,9936
5,10129,10129
6,9992,9992
7,10020,10020
8,9911,9911
9,10034,10034
10,9823,9823
11,9949,9949
12,9989,9989
13,9870,9870
14,9905,9905
15,10090,10090
16,10073,10073
17,9950,9950
18,9834,9834
19,10135,10135
20,10115,10115
21,9910,9910
22,10135,10135
23,9854,9854
24,10297,10297
25,10089,10089
26,9891,9891
27,9970,9970
28,9648,9648
29,10209,10209
30,10270,10270
31,10198,10198
32,10030,10030
33,9960,9960
34,9810,9810
35,9768,9768
36,9993,9993
37,9777,9777
38,9953,9953
39,10121,10121
40,9886,9886
41,10009,10009
42,10036,10036
43,10113,10113
44,9825,9825
45,10138,10138
46,10024,10024
47,10190,10190
48,9908,9908
49,9791,9791
50,9884,9884
51,10089,10089
52,10051,10051
53,10129,10129
54,9799,9799
55,9890,9890
56,9961,9961
57,10095,10095
58,10132,10132
59,10133,10133
60,10214,10214
61,9970,9970
62,10073,10073
63,10083,10083
64,10026,10026
65,10054,10054
66,9937,9937
67,9942,9942
68,10058,10058
69,10062,10062
70,9905,9905
71,10007,10007
72,9921,9921
73,10071,10071
74,10098,10098
75,10223,10223
76,10033,10033
77,10096,10096
78,9910,9910
79,9901,9901
80,9863,9863
81,10170,10170
82,9947,9947
83,10116,10116
84,10144,10144
85,10015,10015
86,9904,9904
87,9942,9942
88,10021,10021
89,9885,9885
90,9981,9981
91,10165,10165
92,9870,9870
93,9962,9962
94,9992,9992
95,10148,10148
96,9976,9976
97,10198,10198
98,9869,9869
99,9963,9963
