walk_idx,ta_ns,tb_ns
0,964413,964413
1,966369,966369
2,1019009,1019009
3,997569,997569
4,998620,998620
5,1005022,1005022
6,1006681,1006681
7,1023746,1023746
8,1023662,1023662
9,1010386,1010386
10,971901,971901
11,1009782,1009782
12,970229,970229
13,1008061,1008061
14,1021968,1021968
15,987615,987615
16,980685,980685
17,988689,988689
18,1006721,1006721
19,993135,993135
20,995985,995985
21,1000395,1000395
22,1021558,1021558
23,1015423,1015423
24,1034123,1034123
25,983606,983606
26,986304,986304
27,997411,997411
28,1002697,1002697
29,993135,993135
30,998467,998467
31,1036935,1036935
32,1017841,1017841
33,986133,986133
34,1007375,1007375
35,981656,981656
36,1026599,1026599
37,971422,971422
38,1003879,1003879
39,1003619,1003619
40,1010004,1010004
41,991092,991092
42,993924,993924
43,991760,991760
44,1004121,1004121
45,1001733,1001733
46,996047,996047
47,992858,992858
48,987067,987067
49,991711,991711
50,992825,992825
51,1004070,1004070
52,989512,989512
53,999433,999433
54,993622,993622
55,1004714,1004714
56,998115,998115
57,945999,945999
58,985334,985334
59,995963,995963
60,976853,976853
61,998136,998136
62,1013946,1013946
63,993923,993923
64,1026021,1026021
65,988037,988037
66,1027543,1027543
67,1011069,1011069
68,991173,991173
69,983231,983231
70,961091,961091
71,1006135,1006135
72,986353,986353
73,1013017,1013017
74,1007428,1007428
75,1010021,1010021
76,956876,956876
77,978254,978254
78,993856,993856
79,1003728,1003728
80,990858,990858
81,1008483,1008483
82,990910,990910
83,1014956,1014956
84,1001578,1001578
85,1037107,1037107
86,1013191,1013191
87,1005833,1005833
88,1023445,1023445
89,1013932,1013932
90,1023073,1023073
91,1009635,1009635
92,1007888,1007888
93,979620,979620
94,992883,992883
95,1021068,1021068
96,1018533,1018533
97,1001375,1001375
98,971930,971930
99,992213,992213
