walk_idx,ta_ns,tb_ns
0,999,999
1,1019,1019
2,980,980
3,989,989
4,989,989
5,1001,1001
6,1012,1012
7,976,976
8,1013,1013
9,986,986
10,990,990
11,1016,1016
12,994,994
13,990,990
14,999,999
15,982,982
16,1024,1024
17,990,990
18,1010,1010
19,1001,1001
20,1008,1008
21,1011,1011
22,1018,1018
23,1024,1024
24,1011,1011
25,1008,1008
26,1005,1005
27,1012,1012
28,998,998
29,1032,1032
30,1011,1011
31,981,981
32,989,989
33,1018,1018
34,1010,1010
35,992,992
36,980,980
37,1017,1017
38,993,993
39,1010,1010
40,1007,1007
41,982,982
42,996,996
43,992,992
44,978,978
45,978,978
46,1030,1030
47,1005,1005
48,995,995
49,995,995
50,1003,1003
51,1010,1010
52,1011,1011
53,983,983
54,1003,1003
55,1010,1010
56,1015,1015
57,985,985
58,988,988
59,998,998
60,1009,1009
61,991,991
62,1001,1001
63,984,984
64,1007,1007
65,987,987
66,991,991
67,1007,1007
68,1017,1017
69,998,998
70,1030,1030
71,1016,1016
72,997,997
73,1019,1019
74,992,992
75,1011,1011
76,1001,1001
77,994,994
78,1014,1014
79,1000,1000
80,994,994
81,988,988
82,1012,1012
83,1014,1014
84,1004,1004
85,1000,1000
86,991,991
87,1000,1000
88,1018,1018
89,1002,1002
90,980,980
91,1008,1008
92,984,984
93,988,988
94,996,996
95,980,980
96,990,990
97,977,977
98,999,999
99,1009,1009
