walk_idx,ta_ns,tb_ns
0,10074,10074
1,9630,9630
2,10005,10005
3,10158,10158
4,9867,9867
5,10136,10136
6,9829,9829
7,10035,10035
8,9927,9927
9,10229,10229
10,9949,9949
11,9723,9723
12,9971,9971
13,9686,9686
14,9994,9994
15,9946,9946
16,9823,9823
17,9851,9851
18,10164,10164
19,9735,9735
20,9784,9784
21,9901,9901
22,9944,9944
23,9824,9824
24,9961,9961
25,10150,10150
26,10117,10117
27,9987,9987
28,10070,10070
29,10170,10170
30,10041,10041
31,9965,9965
32,10166,10166
33,10248,10248
34,10097,10097
35,9779,9779
36,10011,10011
37,10169,10169
38,9971,9971
39,9909,9909
40,9812,9812
41,9928,9928
42,9884,9884
43,10031,10031
44,10017,10017
45,10107,10107
46,9858,9858
47,9970,9970
48,10100,10100
49,9933,9933
50,9961,9961
51,10084,10084
52,9828,9828
53,9993,9993
54,9855,9855
55,9807,9807
56,9974,9974
57,10052,10052
58,10156,10156
59,9955,9955
60,9764,9764
61,9937,9937
62,10031,10031
63,9755,9755
64,9742,9742
65,9924,9924
66,10151,10151
67,10007,10007
68,9929,9929
69,10012,10012
70,9860,9860
71,9931,9931
72,9803,9803
73,9705,9705
74,9902,9902
75,9965,9965
76,9774,9774
77,10053,10053
78,9923,9923
79,10192,10192
80,10177,10177
81,9871,9871
82,9732,9732
83,9927,9927
84,9955,9955
85,10167,10167
86,10083,10083
87,9842,9842
88,10321,10321
89,9968,9968
90,9992,9992
91,10047,10047
92,10029,10029
93,9633,9633
94,9969,9969
95,9953,9953
96,10058,10058
97,9626,9626
98,9957,9957
99,10078,10078
