walk_idx,ta_ns,tb_ns
0,982516,982516
1,997955,997955
2,993046,993046
3,1033348,1033348
4,981698,981698
5,954943,954943
6,989913,989913
7,995034,995034
8,990273,990273
9,991709,991709
10,972902,972902
11,1007766,1007766
12,1004084,1004084
13,1001614,1001614
14,1011485,1011485
15,983432,983432
16,985331,985331
17,976780,976780
18,990525,990525
19,996109,996109
20,995272,995272
21,975363,975363
22,965634,965634
23,1011702,1011702
24,1001244,1001244
25,1005614,1005614
26,1008455,1008455
27,988549,988549
28,1001551,1001551
29,1012790,1012790
30,960945,960945
31,1005176,1005176
32,983397,983397
33,1009054,1009054
34,990670,990670
35,1007715,1007715
36,1020193,1020193
37,1004799,1004799
38,1000420,1000420
39,990579,990579
40,996463,996463
41,1031766,1031766
42,1006190,1006190
43,995709,995709
44,998289,998289
45,993212,993212
46,999444,999444
47,982754,982754
48,991326,991326
49,970471,970471
50,994278,994278
51,1014064,1014064
52,1020438,1020438
53,1020977,1020977
54,999945,999945
55,995150,995150
56,968445,968445
57,988466,988466
58,985010,985010
59,990691,990691
60,1026813,1026813
61,996501,996501
62,995647,995647
63,1040153,1040153
64,1008838,1008838
65,1004886,1004886
66,1014500,1014500
67,1001748,1001748
68,1003024,1003024
69,1018574,1018574
70,1007827,1007827
71,978179,978179
72,1018417,1018417
73,1012855,1012855
74,971279,971279
75,1006411,1006411
76,983476,983476
77,994899,994899
78,981532,981532
79,1016880,1016880
80,985530,985530
81,996469,996469
82,979905,979905
83,1025970,1025970
84,991264,991264
85,1030617,1030617
86,1003906,1003906
87,999924,999924
88,1020158,1020158
89,1003459,1003459
90,997120,997120
91,1004539,1004539
92,986865,986865
93,1018256,1018256
94,961825,961825
95,1008652,1008652
96,1000813,1000813
97,1006226,1006226
98,995394,995394
99,992261,992261
