walk_idx,ta_ns,tb_ns
0,984,984
1,998,998
2,998,998
3,1018,1018
4,1028,1028
5,993,993
6,987,987
7,992,992
8,1022,1022
9,1023,1023
10,1018,1018
11,988,988
12,1003,1003
13,990,990
14,1029,1029
15,979,979
16,1020,1020
17,980,980
18,974,974
19,990,990
20,992,992
21,994,994
22,1004,1004
23,1001,1001
24,989,989
25,1015,1015
26,1011,1011
27,957,957
28,1003,1003
29,967,967
30,993,993
31,987,987
32,982,982
33,992,992
34,995,995
35,1003,1003
36,1000,1000
37,1013,1013
38,1020,1020
39,966,966
40,1014,1014
41,998,998
42,981,981
43,1000,1000
44,996,996
45,984,984
46,1035,1035
47,1009,1009
48,991,991
49,1012,1012
50,1001,1001
51,988,988
52,992,992
53,988,988
54,996,996
55,1002,1002
56,1023,1023
57,1004,1004
58,1001,1001
59,1010,1010
60,963,963
61,1008,1008
62,995,995
63,993,993
64,970,970
65,985,985
66,1009,1009
67,1009,1009
68,1006,1006
69,1010,1010
70,1006,1006
71,1000,1000
72,1021,1021
73,983,983
74,1005,1005
75,1009,1009
76,989,989
77,981,981
78,1007,1007
79,988,988
80,1006,1006
81,1000,1000
82,991,991
83,1012,1012
84,992,992
85,1025,1025
86,1001,1001
87,1013,1013
88,1014,1014
89,1010,1010
90,1006,1006
91,1032,1032
92,1000,1000
93,1013,1013
94,987,987
95,1005,1005
96,996,996
97,979,979
98,1025,1025
99,994,994
