walk_idx,ta_ns,tb_ns
0,1020471,1020471
1,1027426,1027426
2,987218,987218
3,973925,973925
4,1003701,1003701
5,999296,999296
6,1000321,1000321
7,1009630,1009630
8,987014,987014
9,1003954,1003954
10,1001223,1001223
11,1014248,1014248
12,987271,987271
13,989086,989086
14,1000190,1000190
15,1000904,1000904
16,1015743,1015743
17,1005152,1005152
18,1023531,1023531
19,994736,994736
20,1007248,1007248
21,995233,995233
22,1002895,1002895
23,1003314,1003314
24,973875,973875
25,987765,987765
26,987690,987690
27,995711,995711
28,1011821,1011821
29,1006181,1006181
30,1026504,1026504
31,998549,998549
32,989933,989933
33,985796,985796
34,990978,990978
35,991732,991732
36,1013245,1013245
37,983933,983933
38,1014298,1014298
39,978123,978123
40,1033828,1033828
41,1025106,1025106
42,1000411,1000411
43,1008503,1008503
44,982112,982112
45,979094,979094
46,1012186,1012186
47,994987,994987
48,1008956,1008956
49,1000842,1000842
50,1008716,1008716
51,996723,996723
52,1003230,1003230
53,1014105,1014105
54,993106,993106
55,978686,978686
56,1008526,1008526
57,1006976,1006976
58,1002117,1002117
59,991694,991694
60,1007860,1007860
61,999651,999651
62,989437,989437
63,988217,988217
64,1007239,1007239
65,1015295,1015295
66,999686,999686
67,1011807,1011807
68,1015602,1015602
69,1003465,1003465
70,1022835,1022835
71,1003291,1003291
72,1001304,1001304
73,984387,984387
74,995017,995017
75,1004186,1004186
76,1006599,1006599
77,999930,999930
78,1006017,1006017
79,1016584,1016584
80,1000362,1000362
81,976091,976091
82,993630,993630
83,1015268,1015268
84,981343,981343
85,978868,978868
86,1000144,1000144
87,999893,999893
88,977360,977360
89,998593,998593
90,1008121,1008121
91,1001232,1001232
92,1007328,1007328
93,996790,996790
94,995534,995534
95,1000452,1000452
96,988105,988105
97,981638,981638
98,1018935,1018935
99,1016100,1016100
