walk_idx,ta_ns,tb_ns
0,101529,101529
1,99332,99332
2,98147,98147
3,97442,97442
4,102196,102196
5,98307,98307
6,98251,98251
7,98996,98996
8,101369,101369
9,99730,99730
10,96869,96869
11,103393,103393
12,97478,97478
13,97902,97902
14,99172,99172
15,99376,99376
16,102330,102330
17,99134,99134
18,98549,98549
19,101530,101530
20,101555,101555
21,99638,99638
22,97954,97954
23,99880,99880
24,99580,99580
25,98254,98254
26,99453,99453
27,100491,100491
28,100661,100661
29,99945,99945
30,100177,100177
31,102248,102248
32,103171,103171
33,98534,98534
34,100475,100475
35,101019,101019
36,99287,99287
37,101641,101641
38,101541,101541
39,101371,101371
40,101110,101110
41,101556,101556
42,99036,99036
43,99056,99056
44,98446,98446
45,100008,100008
46,100439,100439
47,102193,102193
48,99953,99953
49,102181,102181
50,97753,97753
51,101155,101155
52,101605,101605
53,98304,98304
54,98576,98576
55,101502,101502
56,97005,97005
57,100693,100693
58,101474,101474
59,100358,100358
60,97420,97420
61,100632,100632
62,101485,101485
63,99926,99926
64,99230,99230
65,98855,98855
66,99257,99257
67,101111,101111
68,100493,100493
69,99458,99458
70,101545,101545
71,99801,99801
72,97431,97431
73,100806,100806
74,98748,98748
75,100404,100404
76,100451,100451
77,100991,100991
78,96769,96769
79,99875,99875
80,98762,98762
81,102936,102936
82,99113,99113
83,100514,100514
84,101443,101443
85,102375,102375
86,100177,100177
87,99556,99556
88,101339,101339
89,101860,101860
90,100936,100936
91,98868,98868
92,100570,100570
93,101416,101416
94,100130,100130
95,99678,99678
96,99337,99337
97,101882,101882
98,99221,99221
99,99030,99030
