walk_idx,ta_ns,tb_ns
0,99500,99500
1,99821,99821
2,99118,99118
3,98742,98742
4,97830,97830
5,99408,99408
6,99326,99326
7,100104,100104
8,100520,100520
9,99900,99900
10,101054,101054
11,98583,98583
12,101499,101499
13,100648,100648
14,100013,100013
15,102604,102604
16,101267,101267
17,99601,99601
18,100904,100904
19,100213,100213
20,101428,101428
21,99578,99578
22,100164,100164
23,99177,99177
24,99988,99988
25,99311,99311
26,100994,100994
27,101919,101919
28,100292,100292
29,100699,100699
30,99786,99786
31,98858,98858
32,100236,100236
33,99826,99826
34,98717,98717
35,101839,101839
36,101912,101912
37,99007,99007
38,98675,98675
39,96987,96987
40,101334,101334
41,99400,99400
42,97358,97358
43,102932,102932
44,99292,99292
45,100001,100001
46,101128,101128
47,98418,98418
48,99925,99925
49,99569,99569
50,100660,100660
51,99565,99565
52,99972,99972
53,99121,99121
54,100838,100838
55,99437,99437
56,99909,99909
57,98330,98330
58,98407,98407
59,98569,98569
60,98678,98678
61,99139,99139
62,97890,97890
63,99708,99708
64,98929,98929
65,101288,101288
66,100776,100776
67,99330,99330
68,99231,99231
69,101218,101218
70,102025,102025
71,102051,102051
72,99212,99212
73,95764,95764
74,101226,101226
75,103085,103085
76,99511,99511
77,98171,98171
78,100209,100209
79,97976,97976
80,102555,102555
81,99429,99429
82,99423,99423
83,101579,101579
84,101231,101231
85,101597,101597
86,98547,98547
87,100831,100831
88,103669,103669
89,100111,100111
90,98705,98705
91,98660,98660
92,101391,101391
93,99970,99970
94,99576,99576
95,100639,100639
96,98180,98180
97,101842,101842
98,101363,101363
99,100756,100756
