walk_idx,ta_ns,tb_ns
0,959000,959000
1,987939,987939
2,1006957,1006957
3,990930,990930
4,988838,988838
5,989059,989059
6,987474,987474
7,972485,972485
8,970387,970387
9,1000448,1000448
10,1004540,1004540
11,1007240,1007240
12,1007732,1007732
13,983235,983235
14,1004435,1004435
15,976301,976301
16,1001060,1001060
17,1003174,1003174
18,991238,991238
19,1022414,1022414
20,1008538,1008538
21,988845,988845
22,1003007,1003007
23,988079,988079
24,998771,998771
25,992612,992612
26,987054,987054
27,1007412,1007412
28,1015681,1015681
29,990139,990139
30,1000400,1000400
31,1008818,1008818
32,1002329,1002329
33,1002020,1002020
34,998622,998622
35,964839,964839
36,998762,998762
37,1023464,1023464
38,1011722,1011722
39,985880,985880
40,1017261,1017261
41,1006830,1006830
42,991465,991465
43,1008955,1008955
44,988242,988242
45,1008091,1008091
46,1014196,1014196
47,967938,967938
48,993457,993457
49,1013817,1013817
50,980719,980719
51,1002038,1002038
52,1013289,1013289
53,1012806,1012806
54,1028344,1028344
55,999270,999270
56,1005013,1005013
57,997331,997331
58,999523,999523
59,1006040,1006040
60,981732,981732
61,1005921,1005921
62,1007024,1007024
63,1018593,1018593
64,1000428,1000428
65,1002302,1002302
66,1001519,1001519
67,1006007,1006007
68,1004748,1004748
69,1026856,1026856
70,990046,990046
71,988037,988037
72,970977,970977
73,1015928,1015928
74,991164,991164
75,1000912,1000912
76,1010149,1010149
77,1008271,1008271
78,984057,984057
79,1016350,1016350
80,1027634,1027634
81,989664,989664
82,1005514,1005514
83,1010573,1010573
84,990069,990069
85,988477,988477
86,1002907,1002907
87,1020902,1020902
88,1029597,1029597
89,1001359,1001359
90,1000007,1000007
91,1003538,1003538
92,981110,981110
93,1013847,1013847
94,1005658,1005658
95,1019511,1019511
96,991170,991170
97,982944,982944
98,1001623,1001623
99,1019770,1019770
