walk_idx,ta_ns,tb_ns
0,9968,9968
1,10192,10192
2,9969,9969
3,9718,9718
4,9688,9688
5,10237,10237
6,10213,10213
7,9970,9970
8,10150,10150
9,10050,10050
10,10162,10162
11,9856,9856
12,9872,9872
13,10053,10053
14,9690,9690
15,10355,10355
16,9734,9734
17,9915,9915
18,10054,10054
19,10081,10081
20,9976,9976
21,9815,9815
22,9718,9718
23,9900,9900
24,9972,9972
25,10008,10008
26,10052,10052
27,10018,10018
28,9980,9980
29,9881,9881
30,9783,9783
31,10023,10023
32,10124,10124
33,10420,10420
34,9897,9897
35,9839,9839
36,10046,10046
37,9708,9708
38,9877,9877
39,9711,9711
40,10161,10161
41,9778,9778
42,9924,9924
43,9984,9984
44,10130,10130
45,9980,9980
46,9916,9916
47,9929,9929
48,9960,9960
49,10238,10238
50,10013,10013
51,9835,9835
52,9885,9885
53,10043,10043
54,10252,10252
55,9905,9905
56,9952,9952
57,10129,10129
58,10040,10040
59,9993,9993
60,9647,9647
61,10022,10022
62,10120,10120
63,10101,10101
64,9983,9983
65,9743,9743
66,10232,10232
67,10097,10097
68,10003,10003
69,10020,10020
70,9960,9960
71,10252,10252
72,9991,9991
73,10003,10003
74,10074,10074
75,10239,10239
76,10225,10225
77,10194,10194
78,10050,10050
79,10088,10088
80,9925,9925
81,9884,9884
82,10018,10018
83,10096,10096
84,10001,10001
85,9977,9977
86,9891,9891
87,10119,10119
88,9933,9933
89,9860,9860
90,9999,9999
91,9773,9773
92,9904,9904
93,10059,10059
94,9961,9961
95,9942,9942
96,10080,10080
97,10043,10043
98,10111,10111
99,9972,9972
