walk_idx,ta_ns,tb_ns
0,1020,1020
1,999,999
2,1024,1024
3,1005,1005
4,999,999
5,986,986
6,988,988
7,1034,1034
8,1002,1002
9,991,991
10,1018,1018
11,1006,1006
12,1001,1001
13,1005,1005
14,1003,1003
15,1004,1004
16,1016,1016
17,995,995
18,979,979
19,1003,1003
20,1007,1007
21,1005,1005
22,985,985
23,1007,1007
24,1006,1006
25,989,989
26,984,984
27,989,989
28,990,990
29,1001,1001
30,989,989
31,979,979
32,1021,1021
33,988,988
34,979,979
35,1003,1003
36,998,998
37,1010,1010
38,997,997
39,984,984
40,986,986
41,1005,1005
42,987,987
43,1018,1018
44,1005,1005
45,1028,1028
46,984,984
47,988,988
48,970,970
49,994,994
50,988,988
51,1006,1006
52,1008,1008
53,1002,1002
54,984,984
55,1006,1006
56,981,981
57,1015,1015
58,976,976
59,1013,1013
60,1010,1010
61,992,992
62,1010,1010
63,993,993
64,995,995
65,990,990
66,1016,1016
67,1018,1018
68,996,996
69,970,970
70,1012,1012
71,1016,1016
72,991,991
73,985,985
74,1023,1023
75,1000,1000
76,985,985
77,994,994
78,987,987
79,1000,1000
80,995,995
81,986,986
82,992,992
83,1009,1009
84,988,988
85,977,977
86,987,987
87,1016,1016
88,972,972
89,1003,1003
90,1027,1027
91,1002,1002
92,983,983
93,999,999
94,993,993
95,1007,1007
96,977,977
97,996,996
98,991,991
99,972,972
