walk_idx,ta_ns,tb_ns
0,10008643,10008643
1,9745299,9745299
2,10024747,10024747
3,10083713,10083713
4,9979829,9979829
5,9888798,9888798
6,10065252,10065252
7,9984727,9984727
8,10218434,10218434
9,10123308,10123308
10,10130879,10130879
11,10120594,10120594
12,9754598,9754598
13,9884990,9884990
14,10026597,10026597
15,10028689,10028689
16,10035250,10035250
17,10127408,10127408
18,9892612,9892612
19,9832966,9832966
20,10015336,10015336
21,10037945,10037945
22,10285834,10285834
23,9813081,9813081
24,10123025,10123025
25,10158126,10158126
26,9843376,9843376
27,9664252,9664252
28,9979044,9979044
29,10179178,10179178
30,10041936,10041936
31,10182267,10182267
32,10025722,10025722
33,9891944,9891944
34,9892962,9892962
35,9984416,9984416
36,9992329,9992329
37,10173613,10173613
38,10022687,10022687
39,10021974,10021974
40,10144454,10144454
41,9735827,9735827
42,10062432,10062432
43,10273863,10273863
44,9782702,9782702
45,9975322,9975322
46,9838293,9838293
47,9921746,9921746
48,10041904,10041904
49,10084723,10084723
50,9867641,9867641
51,10089909,10089909
52,10047952,10047952
53,9892563,9892563
54,9917367,9917367
55,9770293,9770293
56,9650842,9650842
57,10129744,10129744
58,9771343,9771343
59,10036550,10036550
60,10020198,10020198
61,9832014,9832014
62,9929467,9929467
63,10173613,10173613
64,9893117,9893117
65,10084910,10084910
66,10073532,10073532
67,9776856,9776856
68,9843023,9843023
69,10103750,10103750
70,9949879,9949879
71,9987067,9987067
72,10245949,10245949
73,10092569,10092569
74,9901222,9901222
75,10228379,10228379
76,10092027,10092027
77,10089717,10089717
78,10147866,10147866
79,10074725,10074725
80,10043174,10043174
81,10130910,10130910
82,10218790,10218790
83,10273953,10273953
84,10304041,10304041
85,10086976,10086976
86,9770999,9770999
87,10019354,10019354
88,10146223,10146223
89,10296228,10296228
90,9984334,9984334
91,9734039,9734039
92,10182499,10182499
93,10031499,10031499
94,10116235,10116235
95,9948476,9948476
96,10014284,10014284
97,9708755,9708755
98,10144136,10144136
99,9728841,9728841
